"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"t331",331,"Ortaklara Borçlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t332",332,"İştiraklere Borçlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t333",333,"Bağlı Ortaklıklara Borçlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t335",335,"Personele Borçlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t337",337,"Diğer Borç Senetleri Reeskontu (-)","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t339",339,"Diğer Çeşitli Borçlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t340",340,"Alınan Sipariş Avansları","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t349",349,"Alınan Diğer Avanslar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t360",360,"Ödenecek Vergi Ve Fonlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t361",361,"Ödenecek Sosyal Güvenlük Kesintileri","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t368",368,"Vadesi Geçmiş, Ertelenmiş Veya Taksitlendirilmiş Vergi Ve Diğer Yükümlülükler","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t369",369,"Ödenecek Diğer Yükümlülükler","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t370",370,"Dönem Kârı Vergi Ve Diğer Yasal Yükümlülük Karşılıkları","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t371",371,"Dönem Kârının Peşin Ödenen Vergi Ve Diğer Yükümlülükleri (-)","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t372",372,"Kıdem Tazminatı Karşılığı","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t373",373,"Maliyet Giderleri Karşılığı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t379",379,"Diğer Borç Ve Gider Karşılıkları","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t380",380,"Gelecek Aylara Ait Gelirler","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t381",381,"Gider Tahakkukları","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t391",391,"Hesaplanan Katma Değer Vergisi","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t392",392,"Diğer Katma Değer Vergisi","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t398",398,"Sayım Ve Tesellüm Fazlaları","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t399",399,"Diğer Çeşitli Yabancı Kaynaklar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t400",400,"Banka Kredileri","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t405",405,"Çıkarılmış Tahviller","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t407",407,"Çıkarılmış Diğer Menkul Kıymetler","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t408",408,"Menkul Kıymetler İhraç Farkı (-)","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t409",409,"Diğer Mali Borçlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t420",420,"Satıcılar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t421",421,"Borç Senetleri","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t422",422,"Borç Senetleri Reeskontu (-)","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t426",426,"Alınan Depozito Ve Teminatlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t429",429,"Diğer Ticari Borçlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t431",431,"Ortaklara Borçlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t432",432,"İştiraklere Borçlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t433",433,"Bağlı Ortaklıklara Borçlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t437",437,"Diğer Borç Senetleri Reeskontu (-)","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t438",438,"Kamuya Olan Ertelenmiş Veya Taksitlendirilmiş Borçlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t439",439,"Diğer Çeşitli Borçlar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t440",440,"Alınan Sipariş Avansları","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t449",449,"Alınan Diğer Avanslar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t472",472,"Kıdem Tazminatı Karşılığı","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t479",479,"Diğer Borç Ve Gider Karşılıkları","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t480",480,"Gelecek Yıllara Ait Gelirler","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t481",481,"Gider Tahakkukları","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t492",492,"Gelecek Yıllara Ertelenen Veya Terkin Edilen Katma Değer Vergisi","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t493",493,"Tesise Katılma Payları","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t499",499,"Diğer Çeşitli Uzun Vadeli Yabancı Kaynaklar","account.data_account_type_non_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t500",500,"Sermaye","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t501",501,"Ödenmemiş Sermaye (-)","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t520",520,"Hisse Senetleri İhraç Primleri","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t521",521,"Hisse Senedi İptal Kârları","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t522",522,"Maddi Duran Varlık Yeniden Değerlenme Artışları","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t523",523,"İştirakler Yeniden Değerleme Artışları","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t529",529,"Diğer Sermaye Yedekleri","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t540",540,"Yasal Yedekler","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t541",541,"Statü Yedekleri","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t542",542,"Olağanüstü Yedekler","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t548",548,"Diğer Kâr Yedekleri","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t549",549,"Özel Fonlar","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t570",570,"Geçmiş Yıllar Kârları","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t580",580,"Geçmiş Yıllar Zararları (-)","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t590",590,"Dönem Net Kârı","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t591",591,"Dönem Net Zararı (-)","account.data_account_type_equity","FALSE","l10n_tr_chart.tr_chart_template"
"t600",600,"Yurt İçi Satışlar","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t601",601,"Yurt Dışı Satışlar","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t602",602,"Diğer Gelirler","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t610",610,"Satıştan İadeler (-)","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t611",611,"Satış İskontoları (-)","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t612",612,"Diğer İndirimler (-)","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t620",620,"Satılan Mamuller Maliyeti (-)","account.data_account_type_direct_costs","FALSE","l10n_tr_chart.tr_chart_template"
"t621",621,"Satılan Ticari Mallar Maliyeti (-)","account.data_account_type_direct_costs","FALSE","l10n_tr_chart.tr_chart_template"
"t622",622,"Satılan Hizmet Maliyeti (-)","account.data_account_type_direct_costs","FALSE","l10n_tr_chart.tr_chart_template"
"t623",623,"Diğer Satışların Maliyeti (-)","account.data_account_type_direct_costs","FALSE","l10n_tr_chart.tr_chart_template"
"t630",630,"Araştırma Ve Geliştirme Giderleri (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t631",631,"Pazarlama Satış Ve Dağıtım Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t632",632,"Genel Yönetim Giderleri (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t640",640,"İştiraklerden Temettü Gelirleri","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t641",641,"Bağlı Ortaklıklardan Temettü Gelirleri","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t642",642,"Faiz Gelirleri","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
